,TRS,Brix,Fiber,Diameter,BundleWeight
NNMSE,315.7745666503906,1.1581748723983765,0.9134643077850342,4.168966293334961,7.1251397132873535
NNRMSE,17.77004689499695,1.076185333666268,0.9557532672112788,2.04180466581281,2.6692957335760594
NNR2,0.6738724909440562,0.44675036214467256,0.4256620534812865,-0.008087521465783842,0.38816728653124954
LRMSE,336.947228227331,1.0005499002686735,0.797358018611377,3.2067496477108387e+24,6.594120342636395
LRRMSE,18.356122363596594,1.0002749123459378,0.8929490571199328,1790739972109.5295,2.567901933999115
LRR2,0.6528085317062287,0.5514439397357349,0.49386774414275325,-6.392454807097948e+17,0.5826984418457333
RFMSE,285.1017832867527,0.7095274270087715,0.6418141629743668,4.785701884355833,5.223527606991934
RFRMSE,16.88495730781552,0.842334510161356,0.801133049483272,2.1876247128691504,2.2855037971948184
RFR2,0.6910549280798067,0.6513636468224687,0.5871820775255896,0.08531275616042569,0.5777432557874926
