,TRS,Brix,Fiber,Diam,Bu Wt,Count
count,1215.0,1215.0,1215.0,313.0,1215.0,625.0
mean,237.2408517535406,19.593857769750276,12.255285519572444,20.889382321618744,12.739703703703702,39.7488
std,30.737992145461256,1.4422161584124795,1.2717716520934648,2.3385914293995085,3.6425987839184306,13.58906762711699
min,110.442967780135,14.0860610961914,8.70575714111328,15.083333333333332,3.98,2.0
25%,216.1542988783875,18.57154388427735,11.3596893310547,19.116666666666667,10.05,30.0
50%,236.290576040054,19.6095748901367,12.2074142456055,21.0,12.55,39.0
75%,262.2505361207605,20.71339797973635,13.0830047607422,22.509999999999998,15.05,49.0
max,302.112022465822,22.763703918457,16.7453536987305,28.453333333333333,26.15,90.0
