Clone ID,N,Brix_mean,TRS_mean,Fiber_mean,Moisture_mean,Pol. Reading_mean,Purity_mean,Sucrose %_mean,Bu Wt_mean,Count_mean,Height(inches)_mean,Diam_mean
95-988,12,19.98,250,11.6,70.50,75.36,85.75,17.45,14.03,45,88.3,21.88
96-540,67,19.28,233,11.6,71.17,70.72,83.47,16.43,13.37,32,95.0,20.77
96-561,12,19.69,242,11.9,70.80,73.29,84.74,17.00,11.60,33,88.0,17.30
97-128,12,20.14,246,12.8,69.76,74.84,84.28,17.31,14.22,51,104.3,21.92
97-218,1,18.40,223,11.9,72.29,67.39,84.04,15.73,19.45,NA,NA,NA
97-609,12,19.96,243,12.0,70.32,73.83,84.11,17.10,14.02,37,108.0,20.75
98-207,12,20.15,247,12.9,69.44,75.06,84.56,17.36,9.23,44,88.3,18.94
98-209,12,19.35,238,11.4,71.27,71.87,84.66,16.69,10.18,32,91.7,19.60
99-226,12,20.35,250,12.2,69.83,75.90,84.47,17.54,17.04,42,110.3,22.78
99-233,4,18.75,218,13.6,70.33,67.03,81.25,15.60,10.59,57,108.0,20.84
CP52-68,4,17.98,206,12.1,72.12,63.48,80.32,14.82,12.48,22,95.0,24.04
N27,11,16.81,173,11.7,73.40,54.97,75.11,12.92,14.48,29,89.3,21.16
N67,1,15.08,148,10.6,76.15,47.58,73.53,11.28,20.80,NA,NA,NA
Nco310,8,20.07,235,12.9,69.71,72.45,81.99,16.76,8.64,29,79.5,18.51
NCO310,4,19.15,224,13.3,70.17,68.76,81.93,15.99,8.26,21,76.0,21.28
POJ234,12,19.37,236,11.9,70.87,71.47,84.04,16.60,15.74,34,100.3,23.95
NA,4,17.67,199,9.1,74.24,61.38,79.99,14.37,14.60,16,83.0,17.56
